YEAR,SQUAXIN,PURDY,WOLLOCHET,QM,ELLIOTT,PO-PM,KILISUT,SOUTH_HC,QUILCENE,PTGAMBLE,DISCOVERY,  SEQUIM,DUNGENESS,PTSUSAN,HOLMES,SKAGIT,  FIDALGO,SAMISH_PORTAGE,SEMIAHMOO,CHERRYPT,INT.SJI,NWSJI
1973,0,,,,,,,,,,,0,,,,,,,,13605.96063,,
1974,0,,,,,,,,,,,,,,,,,,,12667.02416,0,
1975,270.34113,,,,,804.673095,253.104615,,,,,0,,,,,,98.883165,700.34682,9377.571345,0,
1976,1939.56153,,,1231.050045,,405.511695,449.056575,446.33502,253.104615,1036.00527,632.307945,42.637695,,,114.30531,433.63443,,69.853245,291.206385,10744.69914,9.07185,142.428045
1977,18.1437,,,1281.852405,,1222.88538,,402.79014,210.46692,2290.642125,1349.89128,85.27539,,,122.469975,205.930995,,29.02992,575.15529,10067.03195,16.32933,26.308365
1978,52.61673,,,1687.3641,,,230.42499,,12.70059,1799.85504,1183.876425,9.07185,,,,,,,,9954.541005,,
1979,124.284345,,,1760.846085,,1138.517175,,,,1623.86115,800.13717,,,,,,,302.092605,,9032.841045,,
1980,619.607355,,,1750.86705,,1935.025605,432.727245,,,2094.690165,2921.1357,303.906975,39.008955,,70.76043,410.954805,250.38306,914.44248,,8463.128865,,
1981,700.34682,,,1612.067745,,808.301835,293.92794,,,1590.295305,2785.05795,,,,,,413.67636,,914.44248,5641.783515,,
1982,,,,1612.97493,,1101.32259,,160.571745,,1327.211655,2137.32786,,,1261.894335,70.76043,,165.10767,281.22735,1260.079965,4846.18227,,
1983,,,,824.631165,,1497.762435,,,,2183.594295,2338.72293,,178.715445,1268.24463,,,580.5984,144.242415,792.87969,7314.632655,,
1984,,,,1257.35841,,1172.990205,,,,2435.791725,2852.18964,28.122735,,1410.672675,,,673.13127,145.1496,700.34682,5353.298685,,
1985,,,,605.092395,,1283.666775,,,,2165.450595,1312.696695,16.32933,,1198.391385,829.16709,,690.367785,70.76043,2109.205125,5225.3856,,
1986,,,,1071.385485,,1747.23831,,,,1859.72925,1420.65171,,212.28129,847.31079,,,663.152235,71.667615,1328.11884,5144.646135,,
1987,,,,838.23894,,2302.43553,,,61.68858,1856.10051,1445.145705,,,1103.13696,,1407.95112,804.673095,,,2819.53098,,362.874
1988,,,,680.38875,,1546.750425,,,,1260.98715,773.828805,,,517.09545,,1215.6279,,,1782.618525,4017.01518,,
1989,,,,814.65213,,1577.594715,,,,2172.708075,1111.301625,,,312.978825,628.679205,,,52.61673,1543.121685,3631.461555,490.787085,
1990,513.46671,,,617.792985,,1628.397075,330.21534,,,2693.432265,775.643175,,,263.990835,344.7303,,,,1750.86705,4534.11063,354.709335,197.76633
1991,855.475455,,,526.1673,,654.98757,556.104405,323.865045,185.06574,2049.330915,839.146125,,,222.260325,,,978.852615,,1869.708285,4194.82344,54.4311,270.34113
1992,699.439635,,,469.92183,,284.85609,,130.63464,87.996945,2059.30995,659.523495,,,494.415825,,,1269.151815,237.68247,1361.684685,3636.904665,15.422145,
1993,540.68226,,,975.223875,,275.78424,488.06553,,,1379.828385,668.595345,9.979035,,1535.864205,,,1285.481145,179.62263,1725.46587,4439.76339,428.19132,
1994,204.116625,,,1280.94522,,384.64644,264.89802,,,2591.827545,340.194375,0,,331.122525,,,1094.972295,416.397915,1260.079965,5737.03794,0,
1995,142.428045,,,1815.277185,,782.900655,,,741.170145,2864.89023,236.775285,,260.362095,329.308155,,808.301835,1064.128005,175.99389,1129.445325,3723.994425,,
1996,339.28719,,,730.283925,,731.19111,344.7303,216.817215,297.55668,1866.98673,677.667195,0,163.2933,99.79035,304.81416,667.68816,535.23915,576.96966,1105.858515,2807.737575,251.290245,48.080805
1997,135.170565,,,1271.87337,,326.5866,278.505795,205.02381,421.841025,1287.295515,180.529815,0,143.33523,751.14918,480.80805,810.116205,842.774865,461.757165,563.361885,1427.90919,27.21555,71.667615
1998,61.68858,,,859.104195,,443.613465,282.134535,91.625685,1045.07712,880.876635,0,0,101.60472,1890.57354,420.93384,189.601665,765.66414,583.319955,833.703015,1199.29857,,97.068795
1999,430.00569,,,1140.331545,,1819.81311,727.56237,468.10746,2235.30384,1509.55584,278.505795,0,319.32912,494.415825,158.757375,821.002425,911.720925,503.487675,787.43658,1148.49621,178.715445,
2000,336.565635,,128.82027,674.038455,,1593.01686,97.068795,127.0059,2200.83081,2230.767915,144.242415,0,125.19153,712.140225,254.918985,586.04151,668.595345,177.80826,840.05331,733.00548,116.11968,81.64665
2001,1448.774445,,120.655605,1197.4842,,1820.720295,555.19722,169.643595,1896.923835,1613.882115,124.284345,5.44311,78.925095,532.517595,249.475875,1968.59145,856.38264,426.37695,996.08913,1125.816585,198.673515,56.24547
2002,2857.63275,,96.16161,377.38896,,796.50843,702.16119,150.59271,2345.073225,1643.81922,134.26338,0,118.841235,703.068375,519.817005,2009.414775,784.715025,449.96376,918.07122,1206.55605,143.33523,118.841235
2003,1996.714185,,137.89212,843.68205,,984.295725,406.41888,187.787295,830.98146,965.24484,187.787295,0,39.91614,408.23325,615.07143,2706.132855,516.188265,271.248315,986.110095,1461.475035,65.31732,11.793405
2004,751.14918,,47.17362,659.523495,,635.0295,166.92204,159.66456,2124.62727,1140.331545,228.61062,,19.95807,389.182365,610.535505,1129.445325,307.535715,318.421935,570.619365,1573.05879,60.781395,
2005,395.53266,,60.781395,685.83186,,1776.26823,154.22145,190.50885,1020.583125,1244.65782,29.937105,,0,142.428045,451.77813,1060.499265,209.559735,197.76633,789.25095,1823.44185,37.194585,
2006,684.924675,,24.493995,895.391595,,1915.97472,48.98799,221.35314,2295.17805,702.16119,1202.020125,0,0,291.206385,1176.618945,2563.70481,293.020755,373.76022,1158.475245,2010.32196,258.547725,0
2007,505.302045,,31.751475,400.068585,,1441.516965,21.77244,63.50295,2151.84282,749.33481,38.10177,0,30.84429,583.319955,518.90982,1121.28066,144.242415,315.70038,1019.67594,1967.684265,29.937105,0
2008,929.864625,449.96376,40.823325,445.427835,,1078.642965,0,202.302255,2296.085235,188.69448,224.98188,0,62.595765,312.978825,622.32891,1217.44227,141.52086,371.038665,600.55647,1226.51412,54.4311,0
2009,747.52044,113.398125,326.5866,764.756955,,1603.90308,0,141.52086,2779.61484,965.24484,185.972925,0,41.73051,228.61062,948.008325,939.84366,13.607775,290.2992,898.11315,1216.535085,0,0
2010,462.66435,453.5925,9.979035,129.727455,,317.51475,0,194.13759,1825.25622,392.811105,23.58681,0,68.038875,137.89212,610.535505,364.68837,93.440055,588.763065,824.631165,702.16119,21.77244,0
2011,512.559525,645.008535,19.050885,87.08976,,111.583755,0,141.52086,4030.622955,1328.11884,0,0,94.34724,125.19153,2724.276555,425.469765,107.955015,351.080595,1456.031925,1180.247685,0,0
2012,534.331965,122.469975,28.122735,97.97598,263.08365,196.859145,0,239.49684,2382.26781,366.50274,95.254425,,39.008955,55.338285,615.07143,401.882955,80.739465,390.08955,797.415615,1016.0472,4.535925,0
2013,502.58049,235.8681,9.07185,142.428045,194.13759,166.92204,0,180.529815,1879.68732,247.661505,0,0,64.410135,26.308365,530.703225,411.86199,90.7185,628.679205,516.188265,823.72398,,
2014,357.43089,76.20354,35.380215,39.91614,26.308365,81.64665,4.535925,101.60472,2809.551945,154.22145,4.535925,,65.31732,61.68858,416.397915,266.71239,200.487885,705.78993,2565.51918,909.906555,4.535925,
2015,293.92794,29.02992,0,49.895175,122.469975,83.46102,0,255.82617,3716.736945,312.978825,10.88622,,7.25748,63.50295,413.67636,258.547725,72.5748,507.116415,5308.84662,475.36494,34.47303,
2016,236.1948915,0,0,0,99.19192097,0,0,226.1379814,6495.528945,162.8040824,221.193842,0,39.56303003,55.25525707,448.014803,43.61907177,4.543653309,929.4225862,1631.050212,467.7717787,,
2017,271.248315,19.95807,5.44311,0,68.038875,0,0,89.811315,4482.401085,164.200485,93.440055,0,153.314265,103.41909,69.853245,175.99389,5.44311,450.870945,2096.504535,337.47282,0,
2018,380.5641075,15.422145,0,10.88622,198.854952,12.337716,0,57.6062475,5816.325909,451.1431005,232.420797,0,93.258618,67.313127,340.920123,310.075833,0,379.1126115,1602.72374,249.113001,60.599958,0
2019,14,110,0,22,0,1867,0,38,2960,207,102,0,78,64,385,208,0,204,1175.4,290,167,0
2020,110,884,0,0,380,7077,,31,7118,191,150,,57,33,64,539,0,729,922,274,,
2021,74.8171,239.157167,0,0,22.89,2472.33273,0,0,3289.370778,201.269269,0,0,34.152751,24.239,723.660932,218.5246475,0,0,1686.953815,156.822932,0,0